name,type,detailed_type,categ_id
"BROCA P/FIERRO 1/2""",Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROCA P/FIERRO 1/4""",Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROCA P/FIERRO 13/32""",Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROCA P/FIERRO 3/8""",Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROCA P/FIERRO 5/16""",Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROCA P/FIERRO 7/32""",Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROCA P/FIERRO 9/16""",Producto almacenable,Producto almacenable,Retornable / Consumibles (Retornable)
"BROCA P/FIERRO 9/32""",Consumible,Consumible,Retornable / Consumibles (Retornable)
BROCA PARA 13/32,Consumible,Consumible,Retornable / Consumibles (Retornable)
BROCA RECTA AV ZANCO REDUCIDO C/COBALTO 3/4 SURTEK,Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROCA THUNDERBOLT TITANIUM 1/4"" MILWAUKEE 48-89-2213",Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROCA THUNDERBOLT TITANIUM 3/16"" MILWAUKEE Cod.48-89-2209",Consumible,Consumible,Todos
"BROCA THUNDERBOLT TITANIUM 3/8"" MILWAUKEE 48-89-2221",Consumible,Consumible,Cartón / Consumibles (Cartón)
"BROCA THUNDERBOLT TITANIUM 5/16"" MILWAUKEE * 48-89-2217",Consumible,Consumible,Retornable / Consumibles (Retornable)
"BROQUERO 5/8"" C/LLAVE",Consumible,Consumible,Retornable / Consumibles (Retornable)
BSUV GP CHAROLA GENERAL TROQ,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV GP CHAROLA IND TROQ,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV GP CUELLO GENERAL A,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV GP CUELLO GENERAL B,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV GP CUELLO INDIVIDUAL,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV GP INSERTO CHICO,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV GP INSERTO GRANDE,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV GP KIT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
BSUV GP TAPA GENERAL,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV GP TAPA LATERAL,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
BSUV PAD IND TROQ,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
"BT1CC FC WIP NEW DUNNAGE_4845425_DUNNAGE EN CORTILONA ANTIDUST PARA ROPACK 45X48X25""+ RFID AND ID",Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
BT1ZYL_Y0770439_DUNNAGE EN PLASTILONA ANTIDUST+SEPARADOR DE LONABLANCA+TAPA TRANSFLEX MONTADO EN ROPACK 48X45X42,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
BT1ZYL_Y0770439_ROPACK 45X48X42+ PLATE+ RFID’S,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
"BUMPER EPDM NEGRO 2"" X 2"" X 4""",Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
BURBUJA CHICA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
BURBUJA GRANDE,Producto almacenable,Producto almacenable,Cartón / Consumibles (Cartón)
BUZZER. DUNNAGE POLIPROPILENO. 120 CAV. con Pad en TOTE.,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
BV DUNNAGE 28X - CLUSTER BEZEL MP552,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Back Up. 30AA. HUD. 1. Pieza. Caja. CORTE.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. 1. Pieza. Caja. Troquel.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. 2. Pieza. Caja. CORTE.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. 2. Pieza. Caja. Troquel.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. A. Pieza. Corte.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. A. Pieza. Troquel.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. B. Pieza. Corte.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. B. Pieza. Troquel.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. BLOQUE. Pieza. En espuma de polietileno (POLIFOAM) 2.2 LBS densidad cantidad: 4 piezas.,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
Back Up. 30AA. HUD. Caja.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. Celdado.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. Cuello.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
"Back Up. 30AA. HUD. Esquinero 3” x 3"" x 74 cm cal.225",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
Back Up. 30AA. HUD. Pad Gral.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. Pallet.,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Back Up. 30AA. HUD. Separador. Pieza. En espuma de polietileno (POLIFOAM) 2.2 LBS densidad: 1 pieza.,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
Back Up. 30AA. HUD. Tapa Gral.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. 30AA. HUD. U. Pieza. En espuma de polietileno (POLIFOAM) 2.2 LBS densidad cantidad: 4 piezas.,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
Back Up. Honda T90. Caja Armada.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. Honda T90. Caja Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. Honda T90. Cuello.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. Honda T90. Cuello. venta individual,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Back Up. Honda T90. Inserto 1 2.2lb 150x1008x 101mm con adhesivo,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
Back Up. Honda T90. Inserto 1 2.2lb 150x1008x32mm con adhesivo,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
Back Up. Honda T90. Inserto 1 2.2lb 230x1010x 50mm con adhesivo,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
Back Up. Honda T90. Pad Gral.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
"Back Up. Honda T90. Pieza 4 100x230mm esp. 1""",Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
Back Up. Honda T90. Tapa Gral.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Back Up. Honda T90. Tapa Gral. venta individual,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Backframe 60% - cell A alterno desechable,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Backframe 60% - cell A retournable,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Backframe 60% - cell B alterno desechable,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Backframe 60% - cell B retournable,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Backframe 60% - cell C retournable,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Backframe 60% - cell alterno desechable,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Backframe 60% - cell retournable,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Backframe 60% - pad retournable,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Backframe 60% - sleeve,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Backframe 60% Kit retornable,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Barrote CH - Varroc - VW CKD,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Barrote G1 - Varroc - VW CKD,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Barrote G2 - Varroc - VW CKD,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Barrote M - Varroc - VW CKD,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Base Backframe 60% YF-CG,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Base SDD2,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Base para cuello BC48,Consumible,Consumible,Servicios
Bastidor WS Central,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Bastidor WS Driver,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Bastidor WS Passenger,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Bastidor pasador para Tiron 2 RU - YF QRO,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Bastidor plastico outer case U554 HUD,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Bastidor plastico window plate 780B & U554,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Beltline internal WIP rack FR LH,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Beltline internal WIP rack FR RH,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Beltline internal WIP rack RR LH,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Beltline internal WIP rack RR RH,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Big Box. Caja Chica.,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Big Box. Caja Gde.,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Big Box. Tapa Chica.,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Big Box. Tapa Gde.,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Bloqueador Backframe 60% YF-CG,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
Bloqueo,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Bloqueo para ropack u625 Ford,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Bloqueo retornable Gas Spring- powerise (retrabajo),Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Bolsa Evolon. Chica. 285MM X 635MM 487.204-07 EVOLON 80,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
"Bolsa de Evolon 340mm X 745mm. ""487.203-74 NISSAN""",Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
"Bolsas de Polietileno Industriales - Grosor 2 Mil, 76 x 112 cm",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
C - 362388 REINFORCEMENT MCA MP552 PUERTAS,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C - 362390 /362391 DUNNAGE ARMREST FRT & RR,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C - 362718 UPPER REAR MP552 PUERTAS,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C - DUNNAGE 18X,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C - SERVICIO P1,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
C - SERVICIO P2,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
C - SHIFTER BEZEL,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C - TAPA - DUNNAGE 18X,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C - TESLA NV26 KIT PARA DOOR PANEL,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
C - WINDOW PLATE CX430,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C COROPLAST - WINDOW PLATE CX430,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C COROPLAST WINDOW PLATE U725,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C CP -  PISO - GLASS FRONT 780B IC,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C DUNNAGE 28X - CLUSTER BEZEL MP552,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C ESD - WINDOW PLATE CX430,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C ESD WINDOW PLATE U725,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C GLASS FRONT 500B,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C GLOVE BOX,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C WINDOW PLATE U725,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C WS DP DUNNAGE,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
C1YX SILAO PLANT DEPT 1531QUOTE F230707 - DHS52,Servicio,Servicio,Servicios
"CABLE RECUBIERTO DE PVC  1/8""",Producto almacenable,Producto almacenable,Retornable / Consumibles (Retornable)
CABLE SET,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CABLE SET REDISEÑO,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
CABLE SET. INSERTO DE PLÁSTICO PARA BIN,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
"CADENA DE ESLABON  1/2""",Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
CADENA TIPO VICTOR CARR. 2.0MM,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
CAFETERIA,Servicio,Servicio,Todos
CAHROLA CAJA ESD,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
"CAHROLA TFT 500B 4.2""",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
CAJA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA  237811,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA - A PILLAR GARNISH,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA - B PILLAR LOWER GARNISH,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA - EMC SHIELD FRAME 780B,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
CAJA - GLASS FRONT 780B IC,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
CAJA - HEAT SINK 780B,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
CAJA - LOWERCASE 780B,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
CAJA - WINDOWPLATE 780B,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
CAJA 1/2 LENTE TESLA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA 22.750X15.625X7.50ITEC NAV OP 20,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 2415 TRMX,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 241B STABILUS,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 309,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 311 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 342 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 3720,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 3958068-LEXUS,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 4200/0190,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 4291AL,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 4815-7,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 510X420X270MM g07,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 560 X 335 X 320 MM BC 48,Consumible,Consumible,Servicios
CAJA 560 X 335 X 350 MM BC 48,Consumible,Consumible,Servicios
CAJA 718 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 731 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 732 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 733 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 734 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 734949,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 745,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 745 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 745/729,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 746,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 746 & 747,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 770,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA 773 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA 785 VARROC,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA A HSC QTR LOWER 5 CAV,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA ALABAMA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA ARMADA - KIT 330 MCA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA ARMREST YF,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA ARMREST YF NM,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA B PILLAR UPPER,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA BOLT COVER,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA BOX 357790,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA BOX 358268 REs 48,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA BRAZIL,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA BSM FRONT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA C 520,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA C 520,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA CAMRY,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA CARTON WL,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA CARTÓN IMC 070-  Con celda,Producto almacenable,Producto almacenable,Cartón / Kit (Cartón)
CAJA CHICA INTERCOMPAÑÍA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA CONCAVE MIRROR,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
CAJA CONSOLA ABC,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA CX482,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA CX482,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA DE CART N 2415-9 HSC CON SOLAPA SUPERIOR DE 50 MM Y TAPA DE CARTON SENCILLO TIPO PAD,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
"CAJA DE CARTÓN DJ 45X48X34"" ALTERNO (UNITARIO)",Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
"CAJA DE CARTÓN DJ 45X48X42"" ALTERNO (UNITARIO)",Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA DE CARTÓN WS,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA DE PLASTICO CORRUGADO 4MM VERDE BOTELLA + DUNNAGE 6X PLASTILONA ESD C/ ALMA DE COROPLAST + PISO DESLIZABLES + ACCESORIOS DE ESTIBA,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
CAJA DE PLASTICO CORRUGADO 4MM VERDE BOTELLA C/ ACCESORIOS DE ESTIBA CON PERFORACIONES PARA LIMPIEZA Y PISO DESLIZABLE,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
CAJA DE PLASTICO CORRUGADO 4MM VERDE BOTELLA C/ ACCESORIOS DE ESTIBA CON PERFORACIONES PARA LIMPIEZA Y PISO DESLIZABLE + CELDADO 5X PLASTILONA ANTIESTATICA CON ALMA DE PLASTICO CORRUGADO 4MM + TAPA DE TRANSFLEX C/ INSERTO DE PC 4MM,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
CAJA DJ BRACKET,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA DJ INLET,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA DS,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA EFC COMPONENTE,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA EMPTY MCV - 19638 V.I,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA ESD,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
CAJA FARO FR HELLA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA GLOVE BOX,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA HSC - KIT 330 MCA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC 1/2 30AA BACK UP,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA HSC 15*12*9-CELDA A,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC 15*12*9-CELDA B,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC 15*12*9-CELDA C,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC 15*12*9-CELDA D,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC 15*12*9-CELDA E,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC 2415-9,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC 45X48X34,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA HSC 48X45X26C,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA HSC AC PANEL LEXUS,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC CARGO BOX (DIVIDER) Q1,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC CARGO BOX (DIVIDER) Q2,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC QTR LOWER,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA HSC45 48 29 CAJA U502,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA IMGL SERVICE PARTS,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA INDIVIDUAL,Producto almacenable,Producto almacenable,Cartón / Consumibles (Cartón)
"CAJA INDUSTRIAL 34""",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"CAJA INDUSTRIAL 34"" ALTERNO",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"CAJA INDUSTRIAL 48""",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"CAJA INDUSTRIAL 48"" NM",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA IP UPPER,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA IP UPPER,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA KIT RESERVOIR,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA KIT RETEINER,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA L,Servicio,Servicio,Servicios
CAJA LENTE DE CARTÓN I=56X33.5X35MM LENTE TESL,Consumible,Consumible,Servicios
CAJA LUCID,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA MCV,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA MCV 115 CAJA HSC SENCILLO ECT 32 CON DUNNAGE ECT 32 CK Y POLIFOAM,Producto almacenable,Producto almacenable,Cartón / Kit (Cartón)
CAJA NEXTRACKER 2.0 DAMPER,Producto almacenable,Producto almacenable,Cartón / Kit (Cartón)
CAJA OPAL,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA PARA KIT MCV CARTON,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA PARA LENTE VW316 24X15X11,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA PARA RESORTES FLOCKING,Producto almacenable,Producto almacenable,Cartón / Kit (Cartón)
CAJA PIEZA B HSC QTR LOWER,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
CAJA PKG003671,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA PLASTICO CORRUGADO 23” X 54” X 5”,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
CAJA PTR 32X10X07,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA PUERTAS,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA PUERTAS 42,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA PUERTAS D48,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
CAJA RENAULT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA RSC 511X609X787MM D539X,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA RSC B02A,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA RSC BC 385X305X 180 MM,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA RSC C PARA BANCO 440 BEZEL,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA RSC COVER SIDE VFF VW316,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA RSC DK 42 ECT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA RSC INNER ETAPA VFF VW316,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA RSC OUTER ETAPA VFF VW316,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
CAJA TAPA REJILLA TUNDRA,Servicio,Servicio,Servicios
