id,id,product_tag_ids,name,list_price,default_code,type,detailed_type,categ_id,categ_id/id
__export__.product_template_19486_312ff9d0,__export__.product_template_19486_312ff9d0,,1.3. Chattanooga. Charola Troquelada. Pieza.,1.00,DEFAULT-3797,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__export__.product_template_18559_d3c33f52,__export__.product_template_18559_d3c33f52,,"1035 VELCRO 1"" DUNNAGE ROPACK",1.00,"1035 VELCRO 1"" DUNNAGE ROPACK",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_18558_5e72281a,__export__.product_template_18558_5e72281a,,"1100 MM VELCRO AUTO 1"" ROPACK",1.00,"1100 MM VELCRO AUTO 1"" ROPACK",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_18560_940aef80,__export__.product_template_18560_940aef80,,"1100 VELCRO 1"" DUNNAGE ROPACK",1.00,"1100 VELCRO 1"" DUNNAGE ROPACK",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_16980_0d8e13b8,__export__.product_template_16980_0d8e13b8,,"1110 TUBO 3/4"" - DECO ASSY PASSENGER",1.00,"1110 TUBO 3/4"" - DECO ASSY PASSENGER",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_17112_b56f7677,__export__.product_template_17112_b56f7677,,"120 NYLON 1"" TAPA 2422 - LADO 22 AL DUNNAGE",1.00,"120 NYLON 1"" TAPA 2422 - LADO 22 AL DUNNAGE",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_18621_e8306683,__export__.product_template_18621_e8306683,,120 NYLON TAPA -  780B,1.00,120 NYLON TAPA -  780B,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_21462_72532cb3,__export__.product_template_21462_72532cb3,,"1278 PAD, 125C 10 3/8 X 14 5/8",2.43,"1278 PAD, 125C 10 3/8 X 14 5/8",Servicio,Servicio,Servicios,__import__.product_category_005
__export__.product_template_19189_b6dc18b8,__export__.product_template_19189_b6dc18b8,,1282,1.00,DEFAULT-3509,Consumible,Consumible,Todos,product.product_category_all
__import__.product_product_pt_0002_product_template,__import__.product_product_pt_0002_product_template,,13791. GM177. Charola Armada.,0.92,223264 AS 30 99 0000 00 000  INSERTO GM177,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0013_product_template,__import__.product_product_pt_0013_product_template,,13802  U611. 341332.  U625. Charola Armada.,1.29,341332 AS 30 99 0000 00 000 INSERTO U611/U625,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0014_product_template,__import__.product_product_pt_0014_product_template,,13803   U611. 341332. U625. Celda. Pieza.,0.00,341332 CELDA - U611 & U625,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0015_product_template,__import__.product_product_pt_0015_product_template,,13804  U611. 341332. U625. Charola Impresa. Pieza.,0.00,341332 CHAROLA - U611 & U625,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0016_product_template,__import__.product_product_pt_0016_product_template,,13805   U611. 341332. U625. Divisor. Pieza.,0.00,341332 DIVISOR - U611 & U625,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0019_product_template,__import__.product_product_pt_0019_product_template,,13808. 357790.  TAPA,0.00,357790-TAPA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_20619_3da9a3f0,__export__.product_template_20619_3da9a3f0,,13808. 357790. TAPA,1.00,DEFAULT-5101,Producto almacenable,Producto almacenable,Todos,product.product_category_all
__import__.product_product_pt_0020_product_template,__import__.product_product_pt_0020_product_template,,13809. 358268. CAJA,0.00,358268-CAJA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0021_product_template,__import__.product_product_pt_0021_product_template,,13810. 358268. TAPA.,0.00,358268-TAPA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0028_product_template,__import__.product_product_pt_0028_product_template,,13817. Audi Q5. Charola Armada.,0.91,444816 FS 30 99 0000 00 000 INSERTO AUDI Q5,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0044_product_template,__import__.product_product_pt_0044_product_template,,13833. 928069 Chattanooga. St3. Charola Armada.,1.51,928069 FS 30 99 0000 00 000 CHATTANOOGA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0045_product_template,__import__.product_product_pt_0045_product_template,,13834. 955061. Charola Armada.,1.17,955061 AS 30 99 0000 00 000 INSERTO,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_20313_a0fdf634,__export__.product_template_20313_a0fdf634,,13850,1.00,DEFAULT-4570,Consumible,Consumible,Todos,product.product_category_all
__import__.product_product_pt_0062_product_template,__import__.product_product_pt_0062_product_template,,13851. BOX 12*15*07. FCA EXPORT ALTERNATIVA. CAJA.,0.00,BOX 12*15*07 ALTERNATE FCA - CAJA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0063_product_template,__import__.product_product_pt_0063_product_template,,13852. BOX 12*15*07. FCA EXPORT ALTERNATIVA. TAPA.,0.00,BOX 12*15*07 ALTERNATE FCA - TAPA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0071_product_template,__import__.product_product_pt_0071_product_template,,13860  BOX 2066WT,0.49,2066WT AS 30 99 0000 00 000 TAPA - BOX 2066WT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_21130_413f4ed6,__export__.product_template_21130_413f4ed6,,13863,1.00,DEFAULT-5684,Consumible,Consumible,Todos,product.product_category_all
__import__.product_product_pt_0078_product_template,__import__.product_product_pt_0078_product_template,,13867. VH. 3899. Caja.,0.74,3899VH FS 30 99 0000 00 000 CARTÓN - BOX 3899VH,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0087_product_template,__import__.product_product_pt_0087_product_template,,"13876 16"". Caja Terminada.",0.80,"938591 FS 30 99 0000 00 000 CARTÓN - BOX 938591   SIZE 16""",Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
