name,categ_id,type,detailed_type
GSH002-TA,14,product,product
PIEZA A DUNNAGE ENDCAP,30,product,product
INSERT 642762 ,14,product,product
INSERT 734453 MOPAR,14,product,product
INSERT 755027 MOPAR,14,product,product
INSERT FORD DAMPER ,14,product,product
NEW NEXTRACKER BOX-CELDA,14,product,product
NEW NEXTRACKER BOX-CHAROLA,24,product,product
NEW NEXTRACKER BOX-TAPA,24,product,product
LID CARDBOARD 1120X1165X762MM,14,product,product
CARTON: BP#=48CP302: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP303: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP418: SHT=1: DETAIL=1: DA,23,product,product
CARTON: BP#=48CP419: SHT=1: DETAIL=1: DA,23,product,product
CARTON: BP#=48CP552: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP517: SHT=1: DETAIL=1: DA,23,product,product
CARTON: BP#=48CP588: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP600: SHT=1: DETAIL=1: DA,23,product,product
CARTON: BP#=48CP601: SHT=1: DETAIL=1: DA,23,product,product
CARTON: BP#=48CP615: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP693: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP706: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP718: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP720: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP729: SHT=1: DETAIL=1: DA,14,product,product
CARTON:BP#=48CP732:SHT=1:DETAIL=1:DA,14,product,product
REJILLAVENTILA9X-CELDA A,20,product,product
REJILLAVENTILA9X-CELDA B,20,product,product
REJILLAVENTILA9X-TELA17gr,14,product,product
CARTON:BP#=48CP735:SHT=1:DETAIL=1:DA,14,product,product
CARTON: BP#=48CP739: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP753: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP797: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP801: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP849: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP857: SHT=1: DETAIL=1: DA,14,product,product
CARTON:BP#=48CP876:SHT=1:DETAIL=1:DA,14,product,product
CARTON: BP#=48CP877: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP984: SHT=1:DA,14,product,product
CARTON:BP#=48CP985:SHT=1:DETAIL=1:DA,23,product,product
CARTON: BP#=48CP986: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP987: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP990: SHT=1: DETAIL=1: DA,14,product,product
CARTON: BP#=48CP997: SHT=1: DETAIL=1: DA,14,product,product
KIT: BP#=48CP1028: SHT=1: DETAIL=1: DATE,23,product,product
KIT: BP#=48CP1029: SHT=1: DETAIL=1: DATE,23,product,product
KIT: BP#=48CP1031: SHT=1: DETAIL=1: DATE,23,product,product
KIT:BP=48CO1037:SHT=1:DETAIL=1DATE,14,product,product
EMPAQUE CARTON BODY SIDE,23,product,product
EMPAQUE CARTON LA HEAD LAMP,23,product,product
CAJA DE CARTON 440 X 265X 150M,23,product,product
CAJA DE CARTON 360 X340X145M,23,product,product
CAJA DE CARTON 267X227X117MM,14,product,product
KIT EMPAQUE MERCEDES LPD: JUEGO DE EMPAQ,23,product,product
CARTON:BP#48CP1069,14,product,product
KIT SERVICIO TITAN/ARMADA,23,product,product
Kit CHMSL D544 CARTON BP#48CP2001: SHT=,23,product,product
PIEZA B DUNNAGE ENDCAP,30,product,product
KIT 30 CAV DRAWING/48CP2054,23,product,product
KIT 90 CAV DRAWING/48CP2055,23,product,product
KIT: BP DRAWING/48C P2102,23,product,product
TOOLING PARA DUNNAGE LEXUS ALTERNO,18,service,service
NEW NEXTRACKER BOX-CHAROLA ARMADA,14,product,product
NEW NEXTRACKER BOX-TAPA GNRL,14,product,product
